Pais;Idade;Salario;Comprou
Alemanha;40.0;61326.0;Sim
Franca;31.0;82162.0;Sim
Alemanha;42.0;42874.0;Nao
Alemanha;39.0;57095.0;Nao
Franca;;49247.0;Sim
Franca;30.0;32001.0;Nao
Alemanha;34.0;58759.0;Nao
Espanha;47.0;58173.0;Sim
Alemanha;45.0;82701.0;Sim
Alemanha;30.0;69462.0;Nao
Alemanha;;44637.0;Nao
Alemanha;47.0;87811.0;Nao
Franca;23.0;78315.0;Sim
Alemanha;45.0;68731.0;Sim
Espanha;33.0;56602.0;Nao
Franca;45.0;45608.0;Nao
Espanha;32.0;54416.0;Sim
Espanha;21.0;76331.0;Nao
Espanha;23.0;88268.0;Nao
Espanha;40.0;83148.0;Nao
Franca;42.0;52667.0;Nao
Franca;30.0;43205.0;Nao
Espanha;46.0;62113.0;Sim
Espanha;23.0;33473.0;Nao
Franca;39.0;64847.0;Sim
Franca;27.0;57785.0;Nao
Franca;33.0;53009.0;Sim
Alemanha;40.0;36079.0;Nao
Alemanha;31.0;;Sim
Alemanha;36.0;52009.0;Sim
Espanha;50.0;42451.0;Sim
Alemanha;34.0;20000.0;Sim
Espanha;48.0;;Nao
Espanha;28.0;86583.0;Nao
Alemanha;45.0;84918.0;Nao
Espanha;54.0;53143.0;Sim
Alemanha;18.0;50966.0;Sim
Alemanha;32.0;67031.0;Sim
Franca;45.0;45024.0;Sim
Alemanha;37.0;64526.0;Nao
Franca;43.0;71491.0;Sim
Alemanha;33.0;78403.0;Sim
Alemanha;40.0;58497.0;Sim
Franca;38.0;56944.0;Sim
Franca;51.0;46830.0;Nao
Alemanha;42.0;47596.0;Nao
Espanha;43.0;56602.0;Sim
Franca;35.0;65510.0;Sim
Espanha;35.0;73703.0;Sim
Espanha;35.0;47952.0;Sim
Espanha;43.0;82390.0;Sim
Franca;35.0;55933.0;Nao
Espanha;42.0;59679.0;Nao
Franca;60.0;48791.0;Nao
Espanha;48.0;23636.0;Sim
Alemanha;36.0;73260.0;Sim
Alemanha;52.0;71052.0;Nao
Franca;35.0;55780.0;Nao
Alemanha;19.0;61004.0;Nao
Alemanha;29.0;67739.0;Sim
Espanha;21.0;36561.0;Nao
Franca;36.0;52064.0;Sim
Espanha;40.0;71913.0;Nao
Espanha;56.0;;Nao
Espanha;43.0;;Nao
Espanha;37.0;39651.0;Sim
Espanha;48.0;66996.0;Nao
Espanha;18.0;59465.0;Sim
Espanha;42.0;35773.0;Sim
Franca;47.0;77471.0;Sim
Alemanha;25.0;48981.0;Nao
Espanha;51.0;47846.0;Sim
Espanha;43.0;63008.0;Sim
Espanha;35.0;77229.0;Nao
Espanha;46.0;44762.0;Sim
Espanha;62.0;60925.0;Nao
Espanha;41.0;66432.0;Sim
Alemanha;42.0;70396.0;Sim
Alemanha;35.0;62646.0;Nao
Espanha;31.0;54494.0;Sim
Alemanha;48.0;47586.0;Sim
Franca;31.0;61292.0;Nao
Espanha;40.0;;Nao
Franca;35.0;20000.0;Nao
Franca;44.0;66548.0;Sim
Espanha;43.0;73559.0;Sim
Alemanha;50.0;24556.0;Nao
Franca;34.0;44854.0;Nao
Espanha;37.0;;Nao
Franca;30.0;90862.0;Nao
Franca;35.0;;Nao
Franca;43.0;49079.0;Sim
Franca;47.0;57256.0;Sim
Alemanha;30.0;80623.0;Nao
Franca;48.0;50310.0;Sim
Franca;;48012.0;Sim
Franca;44.0;52758.0;Nao
Alemanha;58.0;45700.0;Nao
Franca;32.0;61840.0;Sim
Franca;27.0;84370.0;Sim
Alemanha;22.0;64846.0;Sim
Alemanha;54.0;56214.0;Nao
Alemanha;46.0;55622.0;Nao
Franca;39.0;36552.0;Sim
Alemanha;42.0;73246.0;Sim
Alemanha;28.0;58832.0;Nao
Franca;64.0;57292.0;Sim
Alemanha;41.0;107896.0;Nao
Franca;41.0;64481.0;Nao
Espanha;47.0;48723.0;Sim
Alemanha;44.0;53604.0;Nao
Espanha;42.0;77226.0;Sim
Franca;32.0;61699.0;Sim
Alemanha;44.0;38425.0;Nao
Franca;58.0;;Sim
Espanha;53.0;49977.0;Nao
Franca;55.0;88099.0;Nao
Alemanha;34.0;76200.0;Sim
Alemanha;30.0;53290.0;Sim
Espanha;;79215.0;Sim
Franca;40.0;61017.0;Sim
Alemanha;50.0;72791.0;Sim
Espanha;23.0;67270.0;Sim
Alemanha;55.0;47304.0;Sim
Alemanha;38.0;50346.0;Nao
Franca;35.0;75449.0;Nao
Alemanha;29.0;54978.0;Nao
Franca;23.0;53945.0;Sim
Alemanha;48.0;45673.0;Sim
Espanha;40.0;66353.0;Nao
Alemanha;;90937.0;Sim
Franca;27.0;43987.0;Sim
Franca;;60363.0;Nao
Espanha;56.0;81183.0;Nao
Alemanha;37.0;58805.0;Nao
Alemanha;24.0;66785.0;Sim
Espanha;37.0;44064.0;Nao
Alemanha;37.0;66424.0;Nao
Alemanha;;57192.0;Nao
Franca;;74785.0;Nao
Alemanha;37.0;77810.0;Nao
Alemanha;;98843.0;Nao
Espanha;58.0;68694.0;Sim
Espanha;51.0;64886.0;Nao
Franca;37.0;62915.0;Nao
Alemanha;28.0;54702.0;Nao
Alemanha;65.0;65077.0;Sim
Alemanha;40.0;55568.0;Sim
Franca;40.0;62526.0;Nao
Franca;39.0;79763.0;Nao
Espanha;41.0;44901.0;Nao
Franca;38.0;77098.0;Nao
Alemanha;34.0;79756.0;Nao
Alemanha;34.0;58228.0;Nao
Franca;39.0;28172.0;Nao
Alemanha;34.0;50882.0;Nao
Alemanha;32.0;79454.0;Nao
Franca;41.0;59656.0;Sim
Franca;37.0;45010.0;Sim
Alemanha;;52428.0;Nao
Alemanha;18.0;72609.0;Sim
Alemanha;50.0;68201.0;Sim
Espanha;52.0;56416.0;Sim
Espanha;19.0;54497.0;Sim
Espanha;36.0;54123.0;Sim
Franca;36.0;46163.0;Sim
Espanha;25.0;84230.0;Nao
Franca;32.0;55165.0;Nao
Franca;28.0;78257.0;Sim
Espanha;57.0;82819.0;Sim
Espanha;49.0;74974.0;Nao
Espanha;52.0;53525.0;Sim
Alemanha;47.0;66055.0;Nao
Espanha;28.0;59637.0;Nao
Alemanha;34.0;46444.0;Nao
Franca;44.0;64865.0;Sim
Alemanha;27.0;42314.0;Nao
Espanha;47.0;77815.0;Sim
Franca;37.0;53030.0;Nao
Franca;;63017.0;Nao
Franca;47.0;64249.0;Sim
Alemanha;44.0;56116.0;Sim
Espanha;36.0;68800.0;Sim
Franca;51.0;52876.0;Nao
Franca;29.0;73069.0;Sim
Franca;46.0;39810.0;Nao
Alemanha;45.0;61895.0;Sim
Alemanha;36.0;89083.0;Nao
Espanha;43.0;44995.0;Nao
Alemanha;27.0;49833.0;Nao
Franca;49.0;67708.0;Nao
Espanha;38.0;62693.0;Sim
Franca;34.0;65259.0;Sim
Franca;50.0;67337.0;Nao
Alemanha;32.0;69520.0;Sim
Espanha;25.0;76645.0;Sim
Alemanha;24.0;66147.0;Sim
Alemanha;;56381.0;Sim
Espanha;27.0;70088.0;Sim
Franca;57.0;88498.0;Nao
Franca;19.0;58010.0;Sim
Espanha;56.0;45382.0;Nao
Franca;42.0;76606.0;Sim
Espanha;39.0;58194.0;Nao
Espanha;34.0;27409.0;Sim
Alemanha;43.0;72711.0;Nao
Espanha;39.0;51970.0;Nao
Alemanha;51.0;58642.0;Sim
Franca;41.0;64979.0;Nao
Franca;41.0;62857.0;Nao
Franca;36.0;70641.0;Nao
Franca;39.0;53467.0;Nao
Alemanha;43.0;67696.0;Sim
Franca;22.0;56106.0;Nao
Espanha;26.0;71082.0;Sim
Espanha;47.0;69230.0;Sim
Espanha;41.0;45968.0;Nao
Alemanha;38.0;76289.0;Sim
Franca;40.0;51960.0;Nao
Franca;43.0;72120.0;Nao
